GAP_between_Create_Last,TOTAL_EXPENSED_AMOUNT,APPROVED_AMT,PAID_IN_AMOUNT_ALLOCATION,EXPENSE_TYPE_DESC,CITY,Label
9,5174.39,39,39,出租车费,嘉兴,0
0,6089.77,245,245,餐费,广州,0
6,2951.2,127.4,127.4,办公室小食,河源,0
1,5808.9,144.5,144.5,其它差旅费,青岛,0
1,5808.9,140,140,其它差旅费,青岛,0
0,347,87,87,其它差旅费,张家港,0
0,5007.2,631,631,餐费,杭州,0
26,6564.78,59.3,59.3,出租车费,重庆,0
10,26480,2387,2387,餐费,汕头,0
2,15849.14,350,350,出租车费,台州,0
6,10514,2520,2520,餐费,南充,0
9,13638,2093,2093,餐费,北京,0
26,6564.78,40,40,其它差旅费,重庆,0
1,7531.4,45,45,出租车费,广州,0
7,2166.5,158,158,员工团队用餐及活动,南京,0
3,22302,1930,1930,餐费,南京,0
9,12405.3,402,402,餐费,北京,0
1,8633,259,259,餐费,杭州,0
2,14300.29,206,206,餐费,成都,0
1,18251.68,13,13,其它差旅费,无锡,0
1,18251.68,13,13,其它差旅费,无锡,0
3,22823.87,171,171,餐费,北京,0
0,1742,162,162,餐费,北京,0
0,185.4,46,46,出租车费,深圳,0
0,185.4,35.2,35.2,出租车费,深圳,0
0,185.4,23.8,23.8,出租车费,深圳,0
0,185.4,14.2,14.2,出租车费,深圳,0
17,11417,88,88,旅馆房费-国内,益阳,0
23,4992.7,70,70,其它差旅费,宁波,0
4,6408.16,803,803,餐费,武汉,0
10,24688,2530,2530,餐费,南宁,0
4,13074.1,36,36,餐费,上海,0
1,15672.94,187.24,187.24,员工团队用餐及活动,石家庄,0
3,4881.1,102,102,餐费,昆明,0
1,10440,635,635,餐费,无锡,0
0,8740.4,152,152,餐费,重庆,0
6,5052,418,418,旅馆房费-国内,兰州,0
0,7984.3,572,572,餐费,沈阳,0
7,22383.17,34,34,餐费,北京,0
3,27099.38,9,9,出租车费,温州,0
1,9973.9,759,759,餐费,南京,0
34,11325.9,130,130,办公室小食,广州,0
4,13074.1,342,342,餐费,上海,0
2,29217,2581,2581,餐费,北京,0
6,13624.41,151,151,出租车费,上海,0
0,7888,650,650,餐费,苏州,0
3,13105,2612,2612,餐费,武汉,0
3,13105,273,273,餐费,武汉,0
12,9879.4,572,572,餐费,上海,0
3,15325.4,56,56,餐费,长沙,0
2,11318.7,428,428,旅馆房费-国内,哈尔滨,0
2,10116.4,40,40,其它差旅费,苏州,0
2,10116.4,10,10,出租车费,苏州,0
10,10917.75,48,48,出租车费,上海,0
3,27099.38,13,13,其它差旅费,温州,0
0,15726.2,2960,2960,餐费,镇江,0
36,12229.63,974,974,餐费,常州,0
29,31330.4,2495,2495,餐费,广州,0
10,10917.75,55,55,其它差旅费,上海,0
0,460.5,50,50,补贴,石家庄,0
10,10917.75,21,21,出租车费,上海,0
0,12989.28,2750,2750,餐费,青岛,0
1,3102.74,16,16,其它差旅费,惠州,0
1,3102.74,23,23,出租车费,惠州,0
2,11318.7,245,245,其它差旅费,哈尔滨,0
141,26668,308,308,餐费,深圳,0
3,7479.79,100,100,补贴,沈阳,0
6,13624.41,180,180,出租车费,上海,0
0,32544.5,360,360,办公室小食,青岛,0
21,9418.2,283.6,283.6,办公室小食,梧州,0
0,12810.9,202.4,202.4,餐费,北京,0
21,25327.8,205,205,餐费,杭州,0
1,16452.83,100,100,汽油费,江门,0
0,713,265,265,出租车费,南昌,0
13,23461.89,97,97,餐费,宁波,0
7,12468.55,2240,2240,餐费,长春,0
6,13624.41,166,166,出租车费,上海,0
7,8597,149,149,餐费,北京,0
7,9343.4,5,5,停车及其他收费,济宁,0
43,3432.24,49,49,其它差旅费,重庆,0
15,6479.1,108,108,出租车费,上海,0
15,6479.1,394.3,394.3,移动电话费,上海,0
7,7429,200,200,出租车费,北京,0
7,7429,200,200,出租车费,北京,0
17,6162.28,22,22,其它差旅费,红河哈尼族彝族自治州,0
17,6162.28,14,14,其它差旅费,红河哈尼族彝族自治州,0
17,6162.28,25,25,其它差旅费,红河哈尼族彝族自治州,0
43,3432.24,50,50,其它差旅费,重庆,0
1,8829,255,255,移动电话费,盐城,0
1,8607,639,639,其它差旅费,沈阳,0
3,15796.3,1017.5,1017.5,办公室小食,沈阳,0
10,12145,409,409,移动电话费,南京,0
31,7745.42,326,326,餐费,郑州,0
9,11161.7,99.5,99.5,其它差旅费,广州,0
1,18897.6,196,196,餐费,聊城,0
1,9187.25,91,91,餐费,武汉,0
0,45285,600,600,餐费,长春,0
1,18897.6,170,170,其它差旅费,聊城,0
6,5508.4,129,129,其它差旅费,青岛,0
1,5031.8,50,50,停车及其他收费,合肥,0
1,5031.8,100,100,汽油费,合肥,0
55,7522,150,150,汽油费,湖州,0
2,30152.71,1800,1800,其它差旅费,上海,0
3,11442,39.5,39.5,其它差旅费,九江,0
27,7367.3,50,50,补贴,南昌,0
0,9238,182,182,其它差旅费,临沂,0
75,2872,116,116,办公室小食,宁波,0
7,8280.76,300,300,出租车费,北京,0
7,8280.76,131,131,其它差旅费,北京,0
7,8280.76,27.9,27.9,出租车费,北京,0
7,8280.76,54,54,餐费,北京,0
0,627,627,627,旅馆房费-国内,武汉,0
10,21499.61,197.3,197.3,移动电话费,无锡,0
14,12956,107.2,107.2,办公室小食,南昌,0
2,13283.35,254.5,254.5,其它差旅费,南京,0
4,5672.5,69,69,其它差旅费,沈阳,0
2,3949,181,181,餐费,北京,0
8,3212.85,389,389,移动电话费,北京,0
2,1614.5,132,132,餐费,成都,0
0,912,912,912,餐费,上海,0
0,26631,2906,2906,餐费,上海,0
21,9791.38,19.5,19.5,其它差旅费,无锡,0
21,9791.38,173,173,固定电话及宽带相关费用,无锡,0
4,4581.11,155.14,155.14,办公室小食,合肥,0
0,4862.98,23,23,出租车费,合肥,0
0,4862.98,11,11,出租车费,合肥,0
23,20230,130,130,餐费,广州,0
4,5877.9,128,128,旅馆房费-国内,梅州,0
4,5877.9,128,128,旅馆房费-国内,梅州,0
4,5877.9,168.2,168.2,其它差旅费,梅州,0
23,20230,490,490,印刷及办公费用,广州,0
17,14675.09,33.2,33.2,其它差旅费,成都,0
21,28699.8,28,28,其它差旅费,泰州,0
21,28699.8,50,50,补贴,泰州,0
1,5207.96,14,14,出租车费,南京,0
8,2431.05,13,13,其它差旅费,南京,0
21,28699.8,8.5,8.5,出租车费,泰州,0
3,9814.8,494.05,494.05,移动电话费,郑州,0
3,9814.8,450.55,450.55,移动电话费,郑州,0
3,17589.2,188,188,餐费,上海,0
21,9791.38,43,43,出租车费,无锡,0
0,2500.7,174,174,办公室小食,昆山,0
16,13675.81,49,49,餐费,杭州,0
16,13675.81,50,50,出租车费,杭州,0
11,5370.8,43,43,出租车费,北京,0
22,24979.79,93,93,餐费,上海,0
0,209,50,50,补贴,镇江,0
0,209,29.5,29.5,其它差旅费,镇江,0
1,17448.3,166,166,餐费,东营,0
37,11994.8,13,13,出租车费,宁波,0
5,10587.04,224,224,餐费,青岛,0
16,13675.81,40,40,其它差旅费,杭州,0
11,12627,519,519,餐费,上海,0
1,3188.96,176.5,176.5,其它差旅费,长春,0
13,21293,299,299,出租车费,上海,0
23,14906.4,610,610,餐费,武汉,0
46,24811.67,2470,2470,餐费,梅州,0
3,17589.2,41,41,出租车费,上海,0
5,14999.9,122,122,固定电话及宽带相关费用,北京,0
2,8699.47,10.3,10.3,其它差旅费,淄博,0
28,10956,500,500,旅馆房费-国内,南京,0
28,10956,120,120,汽油费,南京,0
1,4463.4,462,462,餐费,上海,0
1,22447,2564,2564,餐费,抚顺,0
5,2796,2796,2796,餐费,上海,0
16,25499.4,2782,2782,餐费,北京,0
4,11415.82,1510,1510,餐费,北京,0
9,6121.1,121,121,出租车费,北京,0
3,14836,2148,2148,餐费,淮安,0
15,7848.4,106,106,出租车费,上海,0
15,7848.4,152.4,152.4,出租车费,上海,0
23,4755.28,30,30,出租车费,南京,0
1,11127,75,75,其它差旅费,太原,0
2,2674.32,50,50,补贴,成都,0
14,2762.63,10,10,出租车费,长春,0
7,23056.8,491,491,餐费,北京,0
2,8707,148,148,其它差旅费,成都,0
2,8699.47,150,150,汽油费,淄博,0
2,8699.47,30.3,30.3,其它差旅费,淄博,0
21,5118.4,181,181,餐费,南京,0
58,18743.29,554.5,554.5,餐费,杭州,0
33,18620.3,75,75,办公室小食,阜阳,0
6,4038.6,77.2,77.2,出租车费,上海,0
3,2912.96,395.66,395.66,移动电话费,佛山,0
23,14906.4,1346,1346,其它,武汉,0
7,6997.2,347,347,其它个人费用,许昌,0
15,6479.1,100,100,补贴,上海,0
37,11994.8,22,22,其它差旅费,宁波,0
2,8699.47,939,939,餐费,淄博,0
8,638,50,50,补贴,长春,0
8,638,180,180,出租车费,长春,0
2,7833.35,21.4,21.4,出租车费,邯郸,0
1,9617.6,73,73,餐费,乌鲁木齐,0
1,9617.6,281,281,外部人员礼品,乌鲁木齐,0
13,20061.1,7295,7295,餐费,深圳,0
22,24979.79,180,180,出租车费,上海,0
1,14014.7,317,317,餐费,青岛,0
1,14014.7,88,88,出租车费,青岛,0
1,14014.7,284.5,284.5,其它差旅费,青岛,0
0,649,240,240,出租车费,泉州,0
150,3000,60,60,其它差旅费,杭州,0
11,16462.5,800,800,旅馆房费-国内,德阳,0
1,14803,500,500,餐费,苏州,0
10,14992,2618,2618,餐费,天津,0
2,8699.47,194.6,194.6,办公室小食,淄博,0
2,8699.47,186.4,186.4,办公室小食,淄博,0
6,24542.83,2276,2276,餐费,北京,0
2,7999.4,2356,2356,餐费,温州,0
14,21728.6,570,570,餐费,成都,0
7,5946,2534,2534,餐费,北京,0
9,18810.8,1060,1060,旅馆房费-国内,上海,0
21,28699.8,27,27,其它差旅费,泰州,0
0,1843,380,380,旅馆房费-国内,武汉,0
0,1843,1254,1254,旅馆房费-国内,武汉,0
0,1843,209,209,旅馆房费-国内,武汉,0
20,22647.68,3250,3250,餐费,杭州,0
1,12184.76,1900,1900,餐费,杭州,0
5,9090.3,159,159,餐费,深圳,0
5,14799,306,306,办公室小食,沈阳,0
26,3321,30,30,餐费,郑州,0
38,2066,39,39,出租车费,上海,0
15,10127.19,614,614,办公室小食,北京,0
35,9397.5,810.5,810.5,办公室小食,广州,0
31,15854.93,468.61,468.61,移动电话费,泉州,0
31,15854.93,418.51,418.51,移动电话费,泉州,0
0,4079.85,50,50,补贴,大连,0
18,9220.07,25.9,25.9,出租车费,武汉,0
3,54009.41,2450,2450,餐费,上海,0
1,2992.7,91,91,出租车费,上海,0
38,2066,70,70,餐费,上海,0
12,15619,20,20,出租车费,安阳,0
0,4779,334,334,出租车费,广州,0
3,14549.5,1980,1980,餐费,乐山,0
28,6170,70,70,其它差旅费,无锡,0
0,9238,122,122,出租车费,临沂,0
12,8397.3,80,80,出租车费,上海,0
2,8696.4,28.5,28.5,其它差旅费,呼伦贝尔,0
2,8696.4,28.5,28.5,其它差旅费,呼伦贝尔,0
58,9714.44,298,298,旅馆房费-国内,金华,0
6,8930.8,222,222,餐费,大连,0
0,4760,65,65,出租车费,上海,0
9,9801,184,184,旅馆房费-国内,泉州,0
1,2992.7,100,100,补贴,上海,0
1,2992.7,154.8,154.8,出租车费,上海,0
2,14044.21,161,161,餐费,沈阳,0
1,11012,168,168,餐费,上海,0
4,16087.8,285,285,餐费,大连,0
8,3617.19,50,50,出租车费,安阳,0
0,4760,60,60,出租车费,上海,0
4,30022,124,124,餐费,淮安,0
65,63533.75,2792.08,2792.08,会议注册费-AZ,上海,0
0,3295.91,25,25,出租车费,上海,0
17,15633,131,131,餐费,郑州,0
7,9343.4,993,993,餐费,济宁,0
7,9343.4,100,100,汽油费,济宁,0
0,3295.91,319,319,餐费,上海,0
0,1992.4,10,10,出租车费,广州,0
14,1743,1743,1743,餐费,济宁,0
1,9176.6,10.8,10.8,出租车费,西安,0
1,8884.5,110,110,餐费,保山,0
0,3295.91,46,46,出租车费,上海,0
0,3295.91,55,55,出租车费,上海,0
24,4585.95,298,298,餐费,北京,0
8,10780,2896,2896,餐费,北京,0
0,15719,212,212,餐费,临沂,0
0,19960,2441,2441,餐费,南昌,0
0,3295.91,21,21,出租车费,上海,0
0,4862.3,500,500,餐费,苏州,0
1,7626,100,100,邮寄费用,柳州,0
1,7626,500,500,移动电话费,柳州,0
20,8906.89,149,149,餐费,东莞,0
13,21293,22,22,邮寄费用,上海,0
19,8433.1,748.5,748.5,其它差旅费,南京,0
12,5150.5,1220,1220,餐费,大庆,0
1,7302,233,233,餐费,齐齐哈尔,0
39,24050.27,130,130,餐费,银川,0
0,7110.71,164,164,餐费,上海,0
2,7833.35,80.5,80.5,其它差旅费,邯郸,0
3,15862.7,360,360,员工礼品,济南,0
0,15390.5,3320,3320,餐费,北京,0
9,2758.56,322,322,餐费,重庆,0
46,14062.93,260,260,餐费,百色,0
0,20547.7,6000,6000,员工团队用餐及活动,深圳,0
39,24050.27,2112,2112,餐费,银川,0
3,15862.7,75,75,餐费,济南,0
34,12108.3,620,620,办公室小食,郑州,0
46,14062.93,226,226,餐费,百色,0
46,14062.93,50,50,其它差旅费,百色,0
1,4520.88,321.88,321.88,移动电话费,北京,0
4,14649.6,11,11,其它差旅费,邯郸,0
4,14649.6,13,13,其它差旅费,邯郸,0
0,16537.39,219,219,旅馆房费-国内,宜昌,0
7,17427,1502,1502,餐费,重庆,0
8,9778.72,380,380,旅馆房费-国内,青岛,0
0,11424,143,143,餐费,上海,0
26,6276,67,67,出租车费,温州,0
0,2719.88,22,22,其它差旅费,宁波,0
0,11636.2,480,480,餐费,杭州,0
0,1082,388,388,移动电话费,上海,0
1,6455.3,145,145,其它差旅费,合肥,0
0,3159.48,234.98,234.98,移动电话费,上海,0
26,6276,18,18,出租车费,温州,0
0,10160.33,64.6,64.6,出租车费,广州,0
4,14039.69,108,108,餐费,沈阳,0
0,10160.33,99.5,99.5,其它差旅费,广州,0
1,12975.35,44,44,出租车费,重庆,0
8,17402.7,56,56,邮寄费用,银川,0
0,10160.33,408,408,旅馆房费-国内,广州,0
21,4084.1,40,40,出租车费,泸州,0
8,9778.72,176,176,餐费,青岛,0
21,4084.1,100,100,补贴,泸州,0
4,9359.2,20,20,邮寄费用,天津,0
6,44056.7,2963.7,2963.7,餐费,西安,0
4,20810.71,2851,2851,餐费,沈阳,0
2,24990.54,185,185,餐费,太原,0
0,1787.8,100,100,固定电话及宽带相关费用,西安,0
19,14974.5,120,120,汽油费,福州,0
0,7064,439,439,移动电话费,昆明,0
1,13012.37,74,74,其它差旅费,杭州,0
10,14675.16,100,100,固定电话及宽带相关费用,武汉,0
12,25675.9,2750,2750,餐费,重庆,0
1,6731.74,15,15,出租车费,北京,0
5,3835.8,678,678,餐费,大理白族自治州,0
5,3835.8,149,149,员工团队用餐及活动,大理白族自治州,0
6,10698.04,100,100,出租车费,呼和浩特,0
0,1248,50,50,补贴,潍坊,0
6,1021.75,611.15,611.15,办公室小食,上海,0
24,8668,3000,3000,会议场地及设备租赁,成都,0
24,8668,5668,5668,餐费-外部人员,成都,0
5,3835.8,168,168,移动电话费,大理白族自治州,0
10,21299.5,175,175,办公室小食,杭州,0
31,4863,26,26,出租车费,北京,0
4,10144.9,169,169,餐费,青岛,0
16,5726.36,397.91,397.91,移动电话费,北京,0
21,5511,131,131,办公室小食,长春,0
1,37201,31,31,出租车费,芜湖,0
1,3500,700,700,移动电话费,上海,0
1,4634.3,158,158,餐费,巴彦淖尔,0
3,13884.4,84.5,84.5,出租车费,重庆,0
7,7003.4,300,300,餐费,上海,0
0,2792.3,145,145,其它差旅费,石家庄,0
0,8490,396,396,移动电话费,广州,0
0,8490,172,172,餐费,广州,0
7,7233.5,200,200,餐费,无锡,0
6,12498.4,108,108,餐费,广州,0
6,14204.43,298.63,298.63,办公室小食,重庆,0
5,11172,2872,2872,餐费,昆明,0
28,10358.45,296,296,餐费,福州,0
14,7978.93,157.5,157.5,办公室小食,厦门,0
0,1582.8,66,66,餐费,重庆,0
2,14911.8,1049,1049,餐费,北京,0
2,14911.8,241,241,餐费,北京,0
10,2435.4,79.5,79.5,其它差旅费,深圳,0
13,14003.5,22.5,22.5,出租车费,广州,0
13,14003.5,46,46,出租车费,广州,0
0,9790.2,90,90,餐费,上海,0
6,9844.69,418,418,旅馆房费-国内,上海,0
7,444.7,444.7,444.7,移动电话费,上海,0
3,12638.1,72.5,72.5,其它差旅费,沈阳,0
0,4314.14,3234.5,3234.5,移动电话费,上海,0
0,4314.14,695.64,695.64,移动电话费,上海,0
0,2927.9,11,11,出租车费,成都,0
0,8738.8,476,476,移动电话费,上海,0
0,3679.96,70,70,餐费,无锡,0
35,4267.4,95,95,餐费,东莞,0
8,9778.72,120,120,餐费,青岛,0
1,19054.6,177,177,餐费,北京,0
35,19089,337,337,餐费,泰安,0
5,15736.43,160,160,汽油费,苏州,0
0,988,150,150,移动电话费,上海,0
13,11161,533,533,餐费,上海,0
6,11470.15,90,90,其它差旅费,宁波,0
31,4863,88,88,出租车费,北京,0
1,12249.61,50,50,补贴,中山,0
6,6570.5,160,160,汽油费,重庆,0
0,1611,23,23,出租车费,上海,0
17,2987.3,70.1,70.1,餐费,荆门,0
11,1551.3,186,186,餐费,南京,0
3,2894.76,206.76,206.76,移动电话费,上海,0
17,4124,291,291,餐费,汕头,0
0,2956,34.5,34.5,餐费,广州,0
37,10859,302,302,餐费,衡阳,0
21,6010,116,116,餐费,青岛,0
0,2374.6,356,356,移动电话费,武汉,0
21,6010,50,50,餐费,青岛,0
21,6010,893,893,餐费,青岛,0
1,4864.7,299,299,餐费,深圳,0
1,37201,53,53,其它差旅费,芜湖,0
1,10521.09,844,844,餐费,宿迁,0
26,6276,77.5,77.5,其它差旅费,温州,0
6,14204.43,575,575,旅馆房费-国内,重庆,0
6,14204.43,134,134,餐费,重庆,0
0,351,50,50,补贴,北海,0
0,12990.85,100,100,固定电话及宽带相关费用,武汉,0
0,7886.13,100,100,补贴,南通,0
0,12795,856,856,餐费,淄博,0
0,3529.5,690,690,餐费,南昌,0
17,11764,95,95,餐费,哈尔滨,0
1,10577,300,300,移动电话费,烟台,0
0,1979,51,51,出租车费,宿迁,0
14,7978.93,331,331,餐费,厦门,0
5,15736.43,190,190,餐费,苏州,0
0,7886.13,5,5,停车及其他收费,南通,0
26,6276,162,162,餐费,温州,0
6,11470.15,50,50,补贴,宁波,0
0,2792.3,100,100,补贴,石家庄,0
0,7886.13,160,160,汽油费,南通,0
4,14245.5,1986,1986,餐费,无锡,0
1,12176.88,496.08,496.08,移动电话费,上海,0
0,2407.59,83,83,出租车费,上海,0
0,2407.59,300,300,移动电话费,上海,0
2,8093.5,82,82,出租车费,郑州,0
1,8711.22,309,309,办公室小食,杭州,0
1,12707.51,2120,2120,餐费,厦门,0
1,7305,441,441,移动电话费,郑州,0
1,9503.7,110,110,其它差旅费,湖州,0
2,5235,100,100,餐费,东莞,0
0,2792.3,59.6,59.6,出租车费,石家庄,0
0,1405.68,386.4,386.4,移动电话费,上海,0
17,34831.28,226,226,餐费,温州,0
3,13884.4,100,100,补贴,重庆,0
3,13884.4,90,90,汽油费,重庆,0
15,5139.82,451,451,餐费,济南,0
14,19179.45,40,40,其它差旅费,宁波,0
0,9503.8,314.2,314.2,其它差旅费,宁德,0
5,6673.8,14.6,14.6,出租车费,上饶,0
3,4354.7,11.3,11.3,出租车费,西安,0
4,15121.36,20,20,出租车费,汕头,0
4,7887.96,87.1,87.1,出租车费,上海,0
4,7887.96,54,54,出租车费,上海,0
0,500,500,500,移动电话费,上海,0
0,4981.5,96.5,96.5,其它差旅费,哈尔滨,0
16,14733.83,448.5,448.5,办公室小食,广州,0
21,17800,140,140,办公室小食,上海,0
81,11077.56,455.53,455.53,移动电话费,台州,0
81,11077.56,716,716,餐费,台州,0
14,19179.45,50,50,补贴,宁波,0
12,9795.55,300,300,餐费,石家庄,0
1,14435.66,23,23,出租车费,温州,0
10,15390.5,404,404,餐费,青岛,0
0,19247.75,478,478,餐费,阳江,0
0,19247.75,1157,1157,餐费,阳江,0
2,9383.5,132,132,出租车费,上海,0
0,23629.7,2790,2790,餐费,苏州,0
1,7305,198,198,餐费,郑州,0
0,8879.33,446,446,移动电话费,上海,0
5,20380.9,153,153,餐费,常州,0
11,11839.18,129.6,129.6,办公室小食,蚌埠,0
1,21306.14,2236,2236,餐费,天津,0
0,2927.9,11,11,出租车费,成都,0
11,15735.8,2487,2487,餐费,北京,0
10,8324,435,435,办公室小食,合肥,0
21,39941.6,2822,2822,餐费,北京,0
8,13914.5,188,188,其它差旅费,双鸭山,0
1,21306.14,688,688,旅馆房费-国内,天津,0
1,21306.14,112,112,旅馆房费-国内,天津,0
10,2435.4,79.5,79.5,其它差旅费,深圳,0
2,7617,144.5,144.5,其它差旅费,聊城,0
10,21299.5,187,187,餐费,杭州,0
1,9213.25,16,16,出租车费,武汉,0
2,6059.43,121,121,餐费,北京,0
0,9154.68,1426,1426,餐费,东莞,0
5,15736.43,84,84,邮寄费用,苏州,0
3,9987.85,13,13,出租车费,上海,0
24,6722.54,499,499,办公室小食,衡阳,0
3,9987.85,12,12,出租车费,上海,0
44,13830.69,104.5,104.5,出租车费,温州,0
5,6673.8,46,46,邮寄费用,上饶,0
5,6673.8,100,100,补贴,上饶,0
0,5215,200,200,餐费,昆山,0
0,6705,886,886,移动电话费,上海,0
4,7887.96,1036.86,1036.86,移动电话费,上海,0
4,7887.96,10,10,出租车费,上海,0
25,19918,100,100,补贴,中山,0
2,9383.5,148,148,出租车费,上海,0
3,13676.14,268,268,办公室小食,北京,0
2,6068.73,32.5,32.5,其它差旅费,济宁,0
49,11078.07,202.3,202.3,办公室小食,厦门,0
49,11078.07,2450,2450,餐费,厦门,0
54,15269.3,477,477,移动电话费,上海,0
0,12073.44,65.5,65.5,其它差旅费,沈阳,0
17,15051.5,1992,1992,办公室小食,哈尔滨,0
0,4442.19,1000,1000,移动电话费,上海,0
0,19420.9,2860,2860,餐费,上海,0
0,7854,1000,1000,其它差旅费,昆山,0
7,3731.93,683.3,683.3,移动电话费,上海,0
1,6993.5,316,316,移动电话费,长春,0
0,3525,308,308,餐费,北京,0
0,3525,38,38,办公室小食,北京,0
0,9545.4,14.7,14.7,出租车费,沈阳,0
0,9545.4,13,13,出租车费,沈阳,0
0,8981.3,20,20,出租车费,上海,0
7,7398.35,109,109,出租车费,上海,0
1,3805,630,630,餐费,韶关,0
1,14885.8,42.5,42.5,办公室小食,唐山,0
0,8254,1628,1628,餐费,茂名,0
1,3804.9,100,100,邮寄费用,西安,0
0,4981.5,50,50,补贴,哈尔滨,0
0,4981.5,59,59,出租车费,哈尔滨,0
1,3118.37,314,314,机票,长沙,0
1,3118.37,314,314,机票,长沙,0
3,9987.85,120,120,其它差旅费,上海,0
2,15213.42,70,70,固定电话及宽带相关费用,包头,0
2,3233.5,89.5,89.5,餐费,沈阳,0
3,19652.5,177,177,其它差旅费,大连,0
28,7565.21,291,291,餐费,厦门,0
33,11319.19,274.49,274.49,其它差旅费,东莞,0
25,7222,4360,4360,餐费,深圳,0
5,12211.02,134,134,餐费,太原,0
0,13408.14,102.44,102.44,办公室小食,珠海,0
1,12060.9,36,36,其它差旅费,宁波,0
4,15121.36,33,33,出租车费,汕头,0
33,11319.19,107,107,其它差旅费,东莞,0
7,9069.48,100,100,固定电话及宽带相关费用,武汉,0
7,9069.48,473,473,移动电话费,武汉,0
7,7398.35,406,406,移动电话费,上海,0
7,7398.35,95,95,出租车费,上海,0
0,9503.8,50,50,补贴,宁德,0
1,3995.33,103,103,餐费,杭州,0
10,8984.5,50,50,补贴,黄冈,0
4,15121.36,20,20,出租车费,汕头,0
4,15121.36,30,30,出租车费,汕头,0
29,14962.11,193.1,193.1,餐费,北京,0
33,11319.19,33.4,33.4,出租车费,东莞,0
33,11319.19,174,174,餐费,东莞,0
0,2363,396,396,移动电话费,上海,0
7,11212,100,100,固定电话及宽带相关费用,武汉,0
0,10548,92,92,餐费,上海,0
7,11212,882,882,移动电话费,武汉,0
15,11800.78,156,156,餐费,上海,0
1,27766.41,100,100,补贴,玉林,0
0,10387,172,172,其它差旅费,大理白族自治州,0
0,3067.78,23,23,出租车费,广州,0
0,2611,181,181,餐费,中山,0
0,2611,500,500,移动电话费,中山,0
0,22641.06,260,260,餐费,上海,0
0,4785,394,394,移动电话费,上海,0
0,12435.1,60,60,其它差旅费,蚌埠,0
4,13979.5,835,835,餐费,天津,0
0,2967,350,350,其它,上海,0
0,2967,350,350,其它,上海,0
1,7927,272,272,出租车费,烟台,0
36,42175.4,352.6,352.6,移动电话费,上海,0
0,15781.35,99,99,餐费,广州,0
1,6653.65,208,208,办公室小食,西安,0
15,11800.78,84,84,出租车费,上海,0
9,24840.26,2640,2640,餐费,太原,0
9,24840.26,480,480,出租车费,太原,0
17,11561,65.5,65.5,其它差旅费,天津,0
0,3067.78,27,27,出租车费,广州,0
13,12180,598,598,餐费,桂林,0
1,6993.5,100,100,固定电话及宽带相关费用,长春,0
0,8241.8,100,100,补贴,龙岩,0
0,8241.8,348,348,旅馆房费-国内,龙岩,0
17,7485,249,249,餐费,广州,0
17,7485,532,532,餐费,广州,0
5,12247,2315,2315,餐费,郴州,0
12,569.7,96.3,96.3,移动电话费,上海,0
0,2344,437,437,移动电话费,上海,0
0,9662,2836,2836,餐费,杭州,0
0,9545.4,181.5,181.5,其它差旅费,沈阳,0
6,9692.5,110,110,其它个人费用,临沂,0
0,9545.4,23,23,出租车费,沈阳,0
3,8393.09,1000.9,1000.9,餐费,西安,0
0,4473.8,431.3,431.3,移动电话费,上海,0
0,2448.3,9.8,9.8,出租车费,西安,0
5,8574.82,36,36,邮寄费用,扬州,0
29,46895,2890,2890,餐费,北京,0
0,9322.54,954,954,餐费,西安,0
1,10938.5,1000,1000,移动电话费,成都,0
3,9758,1730,1730,餐费,郑州,0
24,4000,1237,1237,当地地面交通费,济南,0
0,8856,235,235,出租车费,苏州,0
2,6068.73,274,274,旅馆房费-国内,济宁,0
39,9413.31,467,467,餐费,广州,0
1,9299.99,1922,1922,餐费,锦州,0
13,14350,323,323,办公室小食,苏州,0
0,7802.6,44,44,出租车费,上海,0
26,6140.8,8,8,出租车费,成都,0
12,5150.5,80.5,80.5,其它差旅费,大庆,0
0,5369,1576,1576,出租车费,上海,0
3,8033.5,300,300,出租车费,北京,0
3,8033.5,200,200,出租车费,北京,0
3,8033.5,200,200,出租车费,北京,0
1,7626,120,120,邮寄费用,柳州,0
19,14160.79,948,948,餐费,漳州,0
20,5973.8,35,35,餐费,广州,0
0,3934.78,495,495,餐费,安阳,0
0,12100.63,10,10,出租车费,郑州,0
0,12100.63,20,20,出租车费,郑州,0
0,12100.63,10,10,出租车费,郑州,0
0,12100.63,30,30,出租车费,郑州,0
0,12100.63,106.5,106.5,其它差旅费,郑州,0
0,12100.63,247.5,247.5,其它差旅费,郑州,0
48,12128.4,241,241,出租车费,广州,0
11,13648.5,2179,2179,餐费,哈尔滨,0
42,17475.37,426,426,餐费,深圳,0
2,43104.5,2756,2756,餐费,北京,0
2,43104.5,2328,2328,餐费,北京,0
32,8970,940,940,旅馆房费-国内,上海,0
9,7981.1,1746,1746,餐费,郑州,0
0,4208.5,1150,1150,当地地面交通费,上海,0
53,9830.9,100,100,补贴,苏州,0
1,2305.06,66,66,餐费,北京,0
1,14960,2690,2690,餐费,淄博,0
15,41070.5,1177,1177,外部培训费,上海,0
23,3945.55,78,78,餐费,广州,0
1,121,61,61,其它差旅费,绍兴,0
4,15544.55,276.2,276.2,办公室小食,常熟,0
12,8154.01,201,201,当地地面交通费,北京,0
12,8154.01,200,200,当地地面交通费,北京,0
27,13492.3,150,150,汽油费,宁波,0
48,13759.88,38.5,38.5,其它差旅费,宝鸡,0
3,12814.4,100,100,补贴,天津,0
