GAP_between_Create_Last,TOTAL_EXPENSED_AMOUNT,APPROVED_AMT,PAID_IN_AMOUNT_ALLOCATION,EXPENSE_TYPE_DESC,CITY,Label
2,9470.7,160,160,汽油费,济南,1
6,11913.2,100,100,补贴,佛山,1
3,7368.11,14,14,出租车费,上海,1
3,7368.11,19,19,出租车费,上海,1
0,16832.07,756,756,旅馆房费-国内,南京,1
24,23136.8,65.5,65.5,其它差旅费,上海,1
9,3507,59,59,餐费,武汉,1
7,12386.71,78.5,78.5,餐费,石家庄,1
0,2262,75,75,出租车费,上海,1
6,5524.49,910,910,餐费,滨州,1
2,17499.12,50,50,出租车费,上海,1
10,7593.5,139.5,139.5,其它差旅费,上海,1
1,7538.97,116.8,116.8,出租车费,上海,1
0,10597.27,100,100,补贴,南京,1
8,12435,2760,2760,餐费,唐山,1
2,4538.6,450,450,邮寄费用,泰安,1
0,6297,1056,1056,旅馆房费-国内,成都,1
7,8149,2510,2510,餐费,青岛,1
34,5990.2,912,912,餐费,海口,1
34,5990.2,30,30,办公室小食,海口,1
52,5395.5,322,322,旅馆房费-国内,运城,1
52,5395.5,150,150,其它差旅费,运城,1
52,5395.5,30,30,其它差旅费,运城,1
0,2000,205,205,餐费,重庆,1
0,15327.4,47,47,出租车费,上海,1
0,15327.4,135.5,135.5,其它差旅费,上海,1
0,14607,42,42,出租车费,北京,1
0,15327.4,239,239,餐费,上海,1
4,8442.36,105,105,出租车费,北京,1
4,8442.36,16,16,出租车费,北京,1
1,24969.06,1740,1740,旅馆房费-国内,上海,1
1,24925.1,42,42,餐费,上海,1
7,8883.7,287,287,其它差旅费,南京,1
0,9960,71,71,餐费,成都,1
52,11789.05,653,653,餐费,上海,1
47,19300.31,100,100,补贴,北京,1
9,2618,2618,2618,餐费,哈尔滨,1
12,7909.1,2960,2960,餐费,沈阳,1
0,11171,2888,2888,餐费,北京,1
0,4011.78,50,50,补贴,北京,1
6,31894.6,859,859,餐费,杭州,1
0,24991.55,1340,1340,办公室小食,烟台,1
28,4833.66,22,22,出租车费,上海,1
5,12839,534,534,旅馆房费-国内,海口,1
5,12839,6964,6964,餐费-外部人员,海口,1
5,12839,141,141,餐费,海口,1
5,12839,3000,3000,展销会场地租赁费,海口,1
5,12839,2200,861.08,当地地面交通费,海口,1
5,12839,2200,1338.92,当地地面交通费,海口,1
0,2067,2067,2067,餐费,襄樊,1
47,19300.31,100,100,补贴,北京,1
28,4833.66,22,22,出租车费,上海,1
7,8883.7,23,23,出租车费,南京,1
7,8883.7,224,224,餐费,南京,1
0,11012,14,14,出租车费,上海,1
7,8883.7,23,23,出租车费,南京,1
7,15467.5,63,63,办公室小食,青岛,1
5,9756.6,149,149,餐费,长春,1
0,24439.78,20,20,出租车费,宁德,1
35,1587,1587,1587,餐费,永州,1
0,24439.78,43,43,其它差旅费,宁德,1
0,16832.07,672,672,餐费,南京,1
0,16832.07,104.5,104.5,其它差旅费,南京,1
7,11625.6,146,146,餐费,大庆,1
1,7538.97,166.2,166.2,出租车费,上海,1
8,14598.8,1730,1730,展架，展台,青岛,1
2,23270,269,269,餐费,北京,1
5,17806,3000,3000,餐费,北京,1
70,12157,14,14,出租车费,北京,1
70,12157,14,14,出租车费,北京,1
0,900.5,275.5,275.5,办公室小食,盘锦,1
18,8225.12,103,103,当地地面交通费,长沙,1
0,900.5,625,625,餐费,盘锦,1
2,22994.15,72.8,72.8,出租车费,武汉,1
6,9840.8,127,127,出租车费,北京,1
2,22994.15,67,67,出租车费,武汉,1
6,9840.8,65,65,出租车费,北京,1
34,5990.2,192,192,餐费,海口,1
32,8937.71,75,75,其它差旅费,嘉兴,1
15,5197.73,200,200,餐费,青岛,1
3,10815.32,117,117,其它差旅费,上海,1
25,16529,22,22,邮寄费用,泰安,1
3,10815.32,30,30,其它差旅费,上海,1
3,10815.32,2304,2304,餐费,上海,1
25,16529,22,22,邮寄费用,泰安,1
2,9094.5,121,121,餐费,上海,1
3,12134.2,281,281,外部人员礼品,太原,1
2,10414.5,12,12,邮寄费用,上海,1
0,41018.65,191,191,出租车费,上海,1
0,16832.07,104.5,104.5,其它差旅费,南京,1
6,6968.81,100,100,补贴,上海,1
8,4056.1,100,100,固定电话及宽带相关费用,锦州,1
22,15411.3,14.3,14.3,出租车费,上海,1
0,4221.9,229.5,229.5,其它差旅费,上海,1
22,9487.24,170,170,邮寄费用,北京,1
22,9487.24,16,16,出租车费,北京,1
5,9344.8,100,100,固定电话及宽带相关费用,锦州,1
0,4221.9,30,30,停车及其他收费,上海,1
0,6159,150,150,办公室小食,上海,1
39,11124,600,600,出租车费,南宁,1
2,20727,2916,2916,餐费,上海,1
39,11124,600,600,出租车费,南宁,1
39,11124,600,600,出租车费,南宁,1
39,11124,600,600,出租车费,南宁,1
39,11124,600,600,出租车费,南宁,1
1,21694,993,993,餐费,上海,1
5,3603.43,100,100,固定电话及宽带相关费用,锦州,1
3,24182.5,233,233,餐费,潍坊,1
0,9174.89,160,160,旅馆房费-国内,上海,1
0,9174.89,488,488,旅馆房费-国内,上海,1
0,14410.71,57,57,出租车费,北京,1
0,9174.89,44,44,餐费,上海,1
1,7822.47,229.5,229.5,其它差旅费,上海,1
6,15677.18,265,265,出租车费,上海,1
19,10311.4,235,235,餐费,上海,1
0,9174.89,1000,1000,旅馆房费-国内,上海,1
1,7822.47,140,140,出租车费,上海,1
0,14519.9,7560,7560,员工礼品,北京,1
2,18746.3,100,100,补贴,宁德,1
4,6948.2,354,354,餐费,广州,1
34,5990.2,100,100,办公室小食,海口,1
34,5990.2,212,212,餐费,海口,1
28,17544.4,562,562,餐费,上海,1
15,5197.73,219,219,餐费,青岛,1
1,24969.06,61,61,餐费,上海,1
1,24969.06,100,100,补贴,上海,1
1,7707.94,610,610,餐费,北京,1
4,19181.6,206,206,出租车费,哈尔滨,1
0,633,361,361,餐费,上海,1
3,16177.38,1908,1908,餐费,合肥,1
2,4711,184,184,餐费,沈阳,1
0,5973.6,771,771,餐费,广州,1
0,6250.82,317,317,餐费,北京,1
4,11522.5,91,91,餐费,长春,1
0,9375,810,810,餐费,沈阳,1
23,9023.84,85,85,出租车费,上海,1
23,9023.84,70,70,其它差旅费,上海,1
23,9023.84,64,64,出租车费,上海,1
18,13602,2843,2843,餐费,重庆,1
0,3021.5,168,168,餐费,上海,1
8,3163.5,100,100,固定电话及宽带相关费用,锦州,1
20,24094.55,255,255,餐费,广州,1
1,6062,294,294,餐费,南京,1
0,16832.07,104.5,104.5,其它差旅费,南京,1
10,7593.5,621,621,旅馆房费-国内,上海,1
0,24439.78,100,100,其它差旅费,宁德,1
0,24439.78,10,10,出租车费,宁德,1
0,24439.78,285,285,餐费,宁德,1
0,24439.78,25.6,25.6,出租车费,宁德,1
0,24439.78,100,100,补贴,宁德,1
0,17899.7,1000,1000,办公室小食,北京,1
10,7593.5,139.5,139.5,其它差旅费,上海,1
1,7538.97,20.6,20.6,出租车费,上海,1
18,7892,992,992,餐费,南宁,1
0,24439.78,20,20,出租车费,宁德,1
2,4538.6,225,225,餐费,泰安,1
0,24439.78,268,268,餐费,宁德,1
0,24439.78,150,150,旅馆房费-国内,宁德,1
3,24835.1,583,583,餐费,哈尔滨,1
11,6879.35,294,294,旅馆房费-国内,海口,1
7,8883.7,30,30,出租车费,南京,1
7,8883.7,163,163,餐费,南京,1
7,8883.7,100,100,补贴,南京,1
0,10731.33,10,10,停车及其他收费,上海,1
4,19181.6,207,207,出租车费,哈尔滨,1
25,16529,22,22,邮寄费用,泰安,1
3,10815.32,1150,1150,旅馆房费-国内,上海,1
1,24969.06,100,100,补贴,上海,1
1,24969.06,905,905,餐费,上海,1
0,9560.03,256,256,餐费,沈阳,1
0,12498.6,75,75,汽油费,长沙,1
0,1531,27,27,出租车费,北京,1
0,17187,388,388,餐费,广州,1
0,9064.34,474,474,机票,上海,1
77,6988.6,782,782,餐费,东莞,1
0,6250.82,317,317,餐费,北京,1
13,3663.3,109.3,109.3,餐费,上海,1
1,17363.8,604.1,604.1,办公室小食,武汉,1
25,12418.65,858,858,餐费,上海,1
0,6534.3,52,52,出租车费,北京,1
0,6534.3,128.5,128.5,其它差旅费,北京,1
1,20275,198,198,餐费,上海,1
3,17487,2160,2160,餐费,沈阳,1
13,11732.74,185,185,出租车费,北京,1
0,807,263,263,移动电话费,广州,1
0,6836.32,100,100,补贴,无锡,1
0,6836.32,570,570,旅馆房费-国内,无锡,1
49,6652.68,729,729,餐费,上海,1
49,6652.68,42,42,出租车费,上海,1
1,9816,48,48,出租车费,上海,1
1,254.37,254.37,254.37,其它个人费用,苏州,1
1,7822.47,118,118,出租车费,上海,1
1,7822.47,229.5,229.5,其它差旅费,上海,1
1,9816,92,92,出租车费,上海,1
0,6836.32,94.5,94.5,其它差旅费,无锡,1
6,15677.18,23,23,出租车费,上海,1
43,8294,209,209,餐费,江门,1
43,8294,92,92,其它差旅费,江门,1
0,14519.9,154,154,餐费,北京,1
5,12933.3,143,143,餐费,深圳,1
1,9961,286,286,办公室小食,成都,1
1,9961,975,975,餐费,成都,1
28,17544.4,428,428,餐费,上海,1
34,5990.2,53,53,办公室小食,海口,1
22,15411.3,205,205,出租车费,上海,1
1,14980.2,1050,1050,临床实验相关费用,北京,1
1,14980.2,39,39,出租车费,北京,1
1,3838.1,261,261,其它个人费用,贵阳,1
22,15411.3,530,530,旅馆房费-国内,上海,1
22,15411.3,101,101,出租车费,上海,1
22,15411.3,141,141,出租车费,上海,1
0,4221.9,229.5,229.5,其它差旅费,上海,1
0,4221.9,80,80,停车及其他收费,上海,1
1,21716.35,689.2,689.2,旅馆房费-国内,上海,1
0,25445.47,102.3,102.3,餐费,成都,1
6,6968.81,50,50,补贴,上海,1
19,8578.89,770,770,员工团队用餐及活动,杭州,1
10,28845.52,776,776,旅馆房费-国内,天津,1
6,6968.81,250,250,内部会议组织费,上海,1
0,11117.8,108,108,出租车费,上海,1
0,2416,462,462,餐费,南京,1
13,2824.5,100,100,固定电话及宽带相关费用,锦州,1
0,15328,381,381,餐费,台州,1
0,18485.9,137,137,餐费,上海,1
1,26655.56,238.5,238.5,出租车费,上海,1
22,13898.18,90,90,汽油费,武汉,1
0,24439.78,100,100,出租车费,宁德,1
5,23094,93,93,餐费,上海,1
4,1718,120,120,餐费,上海,1
39,11124,650,650,出租车费,南宁,1
39,11124,2040,2040,旅馆房费-国内,南宁,1
39,11124,2040,2040,旅馆房费-国内,南宁,1
39,11124,2294,2294,会议场地及设备租赁,南宁,1
0,2178.38,91,91,餐费,上海,1
3,24182.5,54.5,54.5,其它差旅费,潍坊,1
1,9816,135,135,出租车费,上海,1
3,18060.6,201.7,201.7,办公室小食,上海,1
0,14410.71,183,183,餐费,北京,1
26,17128.1,111.1,111.1,办公室小食,广州,1
0,9174.89,44.5,44.5,餐费,上海,1
0,14742.75,234.5,234.5,其它差旅费,上海,1
0,14938,999,999,餐费,马鞍山,1
6,10306.8,50,50,补贴,北京,1
8,19597.52,251,251,其它差旅费,银川,1
8,19597.52,251,251,其它差旅费,银川,1
6,6968.81,50,50,出租车费,上海,1
6,6968.81,50,50,补贴,上海,1
0,26585.7,2963,2963,餐费,太原,1
2,4489.16,184,184,餐费,广州,1
0,1751.2,28,28,出租车费,上海,1
0,1880,206,206,餐费,北京,1
9,14256.46,409,409,餐费,哈尔滨,1
1,9450.7,95,95,其它差旅费,青岛,1
5,1774,1774,1774,餐费,长春,1
0,10597.27,100,100,餐费,南京,1
22,2906.17,263.2,263.2,办公室小食,梧州,1
3,31111.9,395,395,其它差旅费,上海,1
6,18997.5,406,406,餐费,北京,1
0,11568,276,276,餐费,重庆,1
7,4920,269,269,餐费,北京,1
0,2262,14,14,出租车费,上海,1
3,25348.9,97.36,97.36,内部期刊图书费用,上海,1
3,25348.9,1563.38,1563.38,旅馆房费-海外,上海,1
3,25348.9,120.98,120.98,餐费,上海,1
0,1999.31,58.5,58.5,餐费,重庆,1
9,3507,297,297,餐费,武汉,1
